Date	Close	Open	High	Volume	macd	macd_h	macd_s	trading_signal
2022-03-14	255.4566650390625	260.2033386230469	266.8999938964844	71152200	-10.299167726245344	-0.3436738124275731	-9.95549391381777	-1
2022-03-15	267.2966613769531	258.42333984375	268.5233459472656	66841200	-10.168752785598429	-0.17060709742452573	-9.998145688173903	0
2022-03-16	280.07666015625	269.6666564941406	280.6666564941406	84028800	-8.931205533061075	0.8535521240902622	-9.784757657151337	1
2022-03-17	290.5333251953125	276.9966735839844	291.6666564941406	66582900	-7.025687192110183	2.207256372032923	-9.232943564143106	0
2022-03-18	301.7966613769531	291.4966735839844	302.6166687011719	100414200	-4.554195153318517	3.7429987286596713	-8.297193881978188	0
2022-03-21	307.0533447265625	304.99334716796875	314.2833251953125	81981600	-2.1466047685036074	4.920471290779665	-7.067076059283273	0
2022-03-22	331.32666015625	310.0	332.6199951171875	105868500	1.7004795817225613	7.014044512804667	-5.313564931082106	0
2022-03-23	333.03668212890625	326.64666748046875	346.8999938964844	120676200	4.831610331636114	8.116140210174576	-3.2845298785384625	0
2022-03-24	337.97332763671875	336.57666015625	341.4966735839844	68920800	7.623520841945094	8.726440576386846	-1.102919734441751	0
2022-03-25	336.8800048828125	336.0	340.6000061035156	62031600	9.63682075606988	8.591792392409305	1.0450283636605755	0
2022-03-28	363.9466552734375	355.0333251953125	365.9599914550781	102506100	13.26353415862701	9.774804635973148	3.4887295226538626	0
2022-03-29	366.5233459472656	369.3299865722656	371.5899963378906	73614900	16.15937287069511	10.136514678432995	6.022858192262112	0
2022-03-30	364.663330078125	363.72332763671875	371.3166809082031	59865000	18.09566264277487	9.658243560410204	8.437419082364665	0
2022-03-31	359.20001220703125	364.8566589355469	367.71331787109375	48992700	18.970660182262634	8.426592879918374	10.54406730234426	0
2022-04-01	361.5299987792969	360.3833312988281	364.9166564941406	54263100	19.62587758013592	7.265448222233328	12.360429357902593	0
2022-04-04	381.8166809082031	363.1266784667969	383.3033447265625	82035900	21.53387864481965	7.338759429533646	14.195119215286006	0
2022-04-05	363.7533264160156	378.76666259765625	384.2900085449219	80075100	21.342399591906542	5.717824301296428	15.624575290610114	0
2022-04-06	348.586669921875	357.8233337402344	359.6666564941406	89348400	19.739286430212303	3.29176891168175	16.447517518530553	0
2022-04-07	352.4200134277344	350.7966613769531	358.86334228515625	79447200	18.564130740688995	1.6932905777267528	16.870840162962242	0
2022-04-08	341.8299865722656	347.7366638183594	349.4800109863281	55013700	16.587079203552776	-0.22700876752757537	16.81408797108035	-1
2022-04-11	325.30999755859375	326.79998779296875	336.15667724609375	59357100	13.53124677646025	-2.6262729556960807	16.15751973215633	0
2022-04-12	328.98333740234375	332.5466613769531	340.39666748046875	65976000	11.275903788052005	-3.9052927552834618	15.181196543335467	0
2022-04-13	340.7900085449219	327.02667236328125	342.0799865722656	55121100	10.32223955736174	-3.8871655887789824	14.209405146140723	0
2022-04-14	328.3333435058594	333.0966796875	337.57000732421875	58422300	8.463740290230646	-4.596531884728062	13.060272174958708	0
2022-04-18	334.7633361816406	329.6766662597656	338.3066711425781	51715200	7.424132128691895	-4.508912037013452	11.933044165705347	0
2022-04-19	342.7166748046875	335.0199890136719	344.9800109863281	49847700	7.159473178570465	-3.8188567897079047	10.97832996827837	0
2022-04-20	325.73333740234375	343.3333435058594	344.6666564941406	70711200	5.515733716281943	-4.370077001597142	9.885810717879085	0
2022-04-21	336.260009765625	358.24334716796875	364.0733337402344	105416400	5.004780836445491	-3.904823905146875	8.909604741592366	0
2022-04-22	335.01666259765625	338.3033447265625	344.95001220703125	69696600	4.448242699682055	-3.5690896335282485	8.017332333210303	0
2022-04-25	332.67333984375	326.3233337402344	336.2066650390625	68341200	3.7745845927931327	-3.3941981923337377	7.16878278512687	0
2022-04-26	292.1400146484375	331.80999755859375	333.3333435058594	136133700	-0.02965308023937041	-5.7587486922929925	5.729095612053622	0
